Puzzle,Time
1,5.5
2,4.2
3,6.4
4,4.8
5,3.7
6,3.8
7,3.6
8,3.5
9,7.1
10,3.8
11,3.2
12,3.7
13,4.5
14,5
15,3.7
16,7.4
17,6.9
18,5.2
19,5
20,6.7
21,5.77
22,7.4
23,5.2
24,3.9
25,4
26,5.1
27,4.7
28,3.5
29,6.7
30,4.8
31,6.5
32,3.9
33,4.1
34,3.8
35,5.1
36,4.5
37,7.1
38,4.1
39,5.3
40,5.8
41,7.7
42,3.3
43,4
44,5.8
45,4.6
46,2.9
47,5.8
48,3.9
49,3.9
50,4.9
51,6.7
52,7.5
53,4.5
54,4.4
55,2.9
56,4.7
57,4.2
58,5.3
59,5.9
60,4.2
61,5
62,3.6
63,5.6
64,4.9
65,3.9
66,4.5
67,6.9
68,4
69,2.9
70,5.5
71,3.2
72,3.7
73,4.5
74,5.4
75,5.5
76,2.3
77,4.1
78,7.7
79,3.6
80,6.3
81,3.1
82,3.7
83,4.5
84,5.3
85,5.5
86,2.1
87,4.1
88,7.7
89,3.5
90,6.2
91,3.7
92,5
93,3.7
94,3.5
95,3.5
96,3.6
97,3.9
98,7.7
99,4.9
100,4.2
101,4.8
102,5.9
103,3.2
104,5.1
105,4
106,4.5
107,5.2
108,3.9
109,3
110,3.1
111,3
112,4.7
113,4.7
114,3.8
115,5.2
116,3.9
117,3.2
118,3.9
119,4.4
120,5
121,5.5
122,3.9
123,3.9
124,5.5
125,4.5
126,4.9
127,3.8
128,3.9
129,4.7
130,5.5
131,4.2
132,3.7
133,3.5
134,3
135,3.9
136,3.5
137,2.8
138,3.7
139,3.5
140,3.2
141,3.1
142,3.2
143,4.4
144,6.5
145,4.5
146,4.7
147,4.4
148,3.9
149,3.5
150,4.2
151,5.5
152,3.9
153,3.4
154,2.9
155,4.8
156,4
157,3.2
158,2.4
159,4.2
160,4.5
161,4.2
162,3.6
163,3.7
164,2.8
165,5.1
166,2.5
167,3.8
168,5.4
169,4.5
170,3.5
171,4
172,3.5
173,3.4
174,5.5
175,3.7
176,5.2
177,3.5
178,3.8
179,4.9
180,3.9
181,4.5
182,3.1
183,5.4
184,3.6
185,4
186,4.3
187,4.2
188,2.8
189,3.7
190,2.7
191,3.1
192,3.9
193,3.2
194,3.9
195,3.5
196,3.4
197,3.2
198,3.2
199,2.6
200,4.2
